entity_class,canonical_text,total_count,entity_label,page_context,urls,aliases,entity_id
CHARACTER,Mike,6,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Mike,CHARACTER:mike-008332
CHARACTER,Arthur Levertov,5,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo,Arthur|Arthur Levertov|Levertov,CHARACTER:arthur_levertov-52fe06
CHARACTER,Hilton Wexler,5,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo,Hilton Wexler|Wexler,CHARACTER:hilton_wexler-2c8acb
CHARACTER,Anya Taylor-Joy,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Anya Taylor-Joy,CHARACTER:anya_taylor_joy-7853b7
CHARACTER,Bill Camp,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Bill Camp,CHARACTER:bill_camp-375ab3
CHARACTER,Flento,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game,Flento,CHARACTER:flento-88c60d
CHARACTER,Matt,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Matt,CHARACTER:matt-4526aa
CHARACTER,Sizemore,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Exchanges,Sizemore,CHARACTER:sizemore-1cd968
CHARACTER,Hellstrom,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game,Hellstrom,CHARACTER:hellstrom-7715f5
CHARACTER,Ivanchuk,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968),Ivanchuk,CHARACTER:ivanchuk-12e88e
CHARACTER,Laev,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Laev,CHARACTER:laev-9bbd1a
CHARACTER,Mary-Sue,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Mary-Sue,CHARACTER:mary_sue-98ebe5
CHARACTER,Najdorf,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Najdorf,CHARACTER:najdorf-10dbbd
CHARACTER,Polgár,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Polgár,CHARACTER:polg_r-4b1f61
CHARACTER,Shapkin,3,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game,Shapkin,CHARACTER:shapkin-07a5e0
CHARACTER,Albin,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968),Albin,CHARACTER:albin-b41fd6
CHARACTER,Bulova,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Bulova,CHARACTER:bulova-faf089
CHARACTER,Charles Levy,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Charles Levy,CHARACTER:charles_levy-7f7647
CHARACTER,Cloe,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Cloe,CHARACTER:cloe-8cf906
CHARACTER,Cullen,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,Cullen,CHARACTER:cullen-6474f1
CHARACTER,Diedrich,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Diedrich,CHARACTER:diedrich-e67fd5
CHARACTER,Duhamel,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Duhamel,CHARACTER:duhamel-b0ac5f
CHARACTER,Fergussen,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Fergussen,CHARACTER:fergussen-32a0a2
CHARACTER,Judit Polgár,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Judit Polgár,CHARACTER:judit_polg_r-f13b0f
CHARACTER,Michaelangelo,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,Michaelangelo|Michaelanglo,CHARACTER:michaelangelo-c85781
CHARACTER,Rudolph,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Rudolph,CHARACTER:rudolph-d0465b
CHARACTER,Thomas Brodie-Sangster,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Benny_Watts|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Thomas Brodie-Sangster,CHARACTER:thomas_brodie_sangster-c8264f
CHARACTER,White,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Middle_Game|https://the-queens-gambit.fandom.com/wiki/Openings,White,CHARACTER:white-8f265d
CHARACTER,Alec Bergland,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Alec Bergland,CHARACTER:alec_bergland-2166ad
CHARACTER,Alekhine,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Fork,Alekhine,CHARACTER:alekhine-d4eb92
CHARACTER,Allan Scott,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Allan Scott,CHARACTER:allan_scott-75bb32
CHARACTER,Annabeth Kelly,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Annabeth Kelly,CHARACTER:annabeth_kelly-23185e
CHARACTER,Beltik H,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beltik H.,CHARACTER:beltik_h-bf80d7
CHARACTER,Benjamin Watts,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Benny_Watts,Benjamin Watts,CHARACTER:benjamin_watts-79c359
CHARACTER,Benson,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley,Benson,CHARACTER:benson-fdbcbf
CHARACTER,Bergland,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Bergland,CHARACTER:bergland-563a2c
CHARACTER,Booth,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Booth,CHARACTER:booth-4a58b1
CHARACTER,Bradley,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Fork,Bradley,CHARACTER:bradley-40bf0d
CHARACTER,Bruce Pandolfini,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Bruce Pandolfini,CHARACTER:bruce_pandolfini-a3032a
CHARACTER,Chloe Pirrie,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon,Chloe Pirrie,CHARACTER:chloe_pirrie-495e07
CHARACTER,Christopher,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,Christopher,CHARACTER:christopher-c783f9
CHARACTER,Cooke,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Cooke,CHARACTER:cooke-d4130e
CHARACTER,Crawford Walker,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment,Crawford Walker,CHARACTER:crawford_walker-3a1b3f
CHARACTER,Darga,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Darga,CHARACTER:darga-edba99
CHARACTER,Diana Lanni,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Diana Lanni,CHARACTER:diana_lanni-19020b
CHARACTER,Dick Evans,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Dick Evans,CHARACTER:dick_evans-b2825e
