alias,canonical_text,entity_id,entity_class
Duhamel,Duhamel,RealPerson:duhamel-e2a2c8,RealPerson
E. Shapkin,E. Shapkin,RealPerson:e_shapkin-716172,RealPerson
"Elizabeth ""Beth"" Olivia Harmon","Elizabeth ""Beth"" Olivia Harmon",RealPerson:elizabeth_beth_olivia_harmon-267a89,RealPerson
Elizabeth Harmon,Elizabeth Harmon,RealPerson:elizabeth_harmon-0a1f94,RealPerson
Fergussen,Fergussen,RealPerson:fergussen-907c33,RealPerson
Flento,Flento,RealPerson:flento-572905,RealPerson
Fork,Fork,RealPerson:fork-6e0d3c,RealPerson
Friedman,Friedman,RealPerson:friedman-bbb15f,RealPerson
Ganz,Ganz,RealPerson:ganz-2471c7,RealPerson
Georgi,Georgi,RealPerson:georgi-c719b6,RealPerson
Georgi Girev,Georgi Girev,RealPerson:georgi_girev-4acfdc,RealPerson
Girev,Girev,RealPerson:girev-619b31,RealPerson
Goldman,Goldman,RealPerson:goldman-73b039,RealPerson
Grandmaster,Grandmaster,RealPerson:grandmaster-a16bb6,RealPerson
Harmon,Harmon,RealPerson:harmon-8c7d92,RealPerson
Harmon E,Harmon E,RealPerson:harmon_e-865a18,RealPerson
Harry,Harry,RealPerson:harry-98fe7f,RealPerson
Harry Beltik,Harry Beltik,RealPerson:harry_beltik-377296,RealPerson
Hellstrom,Hellstrom,RealPerson:hellstrom-1ffc1d,RealPerson
Hilton Wexler,Hilton Wexler,RealPerson:hilton_wexler-1f6fec,RealPerson
Hou Yifan,Hou Yifan,RealPerson:hou_yifan-b82958,RealPerson
Isla Johnston,Isla Johnston,RealPerson:isla_johnston-23ebe8,RealPerson
Jolene,Jolene,RealPerson:jolene-ae67ae,RealPerson
Judit Polgár,Judit Polgár,RealPerson:judit_polg_r-223c91,RealPerson
Laev,Laev,RealPerson:laev-9510c0,RealPerson
Lanni,Lanni,RealPerson:lanni-c57786,RealPerson
Levenfish,Levenfish,RealPerson:levenfish-881e3d,RealPerson
Luchenko,Luchenko,RealPerson:luchenko-5c627a,RealPerson
Malovicz,Malovicz,RealPerson:malovicz-955e0b,RealPerson
Manfredi,Manfredi,RealPerson:manfredi-09b3b2,RealPerson
Margaret,Margaret,RealPerson:margaret-f7e1bb,RealPerson
Mary-Sue,Mary-Sue,RealPerson:mary_sue-adddfe,RealPerson
Matt,Matt,RealPerson:matt-87b290,RealPerson
McDonnell,McDonnell,RealPerson:mcdonnell-191717,RealPerson
Mike,Mike,RealPerson:mike-b6da1c,RealPerson
Morphy,Morphy,RealPerson:morphy-d58503,RealPerson
Najdorf,Najdorf,RealPerson:najdorf-a6c06e,RealPerson
Octavio Marenco,Octavio Marenco,RealPerson:octavio_marenco-fb3b39,RealPerson
P. Darga,P. Darga,RealPerson:p_darga-a5a0d5,RealPerson
P. W. Sergeant,P. W. Sergeant,RealPerson:p_w_sergeant-7694cb,RealPerson
Packer,Packer,RealPerson:packer-3967ea,RealPerson
Paul,Paul,RealPerson:paul-85a56a,RealPerson
Paul Morphy,Paul Morphy,RealPerson:paul_morphy-963080,RealPerson
Polgár,Polgár,RealPerson:polg_r-8cb6a7,RealPerson
R. Uljanov,R. Uljanov,RealPerson:r_uljanov-452fe1,RealPerson
Rossolimo,Rossolimo,RealPerson:rossolimo-66f272,RealPerson
Rudolph,Rudolph,RealPerson:rudolph-fc52d2,RealPerson
S. Malovicz,S. Malovicz,RealPerson:s_malovicz-0510c9,RealPerson
Samantha,Samantha,RealPerson:samantha-963d7e,RealPerson
Shaibel,Shaibel,RealPerson:shaibel-340fdd,RealPerson
Shapkin,Shapkin,RealPerson:shapkin-588cbc,RealPerson
Sizemore,Sizemore,RealPerson:sizemore-98dd42,RealPerson
Tevis,Tevis,RealPerson:tevis-9e55ed,RealPerson
Townes,Townes,RealPerson:townes-ceeffb,RealPerson
Uljanov,Uljanov,RealPerson:uljanov-3e9597,RealPerson
Vasily Borgov,Vasily Borgov,RealPerson:vasily_borgov-bb0b07,RealPerson
W. C. Griffith,W. C. Griffith,RealPerson:w_c_griffith-e9e34f,RealPerson
Walter Tevis,Walter Tevis,RealPerson:walter_tevis-36bc4f,RealPerson
Watts,Watts,RealPerson:watts-454a86,RealPerson
Weiss,Weiss,RealPerson:weiss-9df278,RealPerson
Wheatley,Wheatley,RealPerson:wheatley-3f5031,RealPerson
Wheatleys,Wheatley,RealPerson:wheatley-3f5031,RealPerson
